source_id,source,source_type
1,https://technave.com/gadget/MyDigital-ID-launches-in-Malaysia--AI-action-plan-targets-smarter-public-services-by-2030-43597.html,Website
2,https://www.mydigital.gov.my/,Government Website
3,https://ekonomi.gov.my/sites/default/files/2021-02/malaysia-digital-economy-blueprint.pdf,Government Website
4,https://www.centre4ir.my/home,Website
5,https://mastic.mosti.gov.my/publication/artificial-intelligence-roadmap-2021-2025/,Government Website
6,https://ai.gov.my/about-naio/,Government Website
7,https://ai.gov.my/,Government Website
8,https://www.trade.gov/country-commercial-guides/malaysia-digital-economy,Website
9,https://www.digital.gov.my/en-GB/siaran/National-AI-Office-to-Shape-Future-of-AI-in-Malaysia-Key-Leadership-Roles-Open-to-Qualified-Individuals.pdf,Government Website
10,https://www.richardweechambers.com/artificial-intelligence-governance-in-focus-malaysias-national-guidelines-on-ai-governance-and-ethics-vs-the-european-unions-ai-act/,Website
11,https://arxiv.org/abs/2509.21858,Website
12,MOHE official portal,Other
13,Malaysia Plan 2021 Report,Other
14,MOHE Roadmap 2026 draft,Other
15,MyDIGITAL Blueprint,Other
16,National 4IR Policy Document,Other
17,MyDIGITAL Secretariat,Other
18,WEF Malaysia Centre for 4IR,Other
19,MDEC Annual Report 2025,Other
20,MITI & MDEC,Other
21,MDEC DICE 2022,Other
22,MDEC AI Framework,Other
23,NAIO Malaysia 2024,Other
24,KKD NCCP,Other
25,GovTech Malaysia 2023,Other
26,DNB Progress Report 2025,Other
27,MCMC JENDELA Report,Other
28,MCMC 5G Strategy Paper,Other
29,DEPT_001,Other
30,DEPT_002,Other
31,DEPT_003,Other
32,DEPT_004,Other
33,DEPT_005,Other
34,DEPT_006,Other
35,DEPT_007,Other
36,DEPT_008,Other
37,DEPT_009,Other
38,DEPT_010,Other
39,DEPT_011,Other
40,DEPT_012,Other
41,DEPT_013,Other
42,DEPT_014,Other
43,DEPT_015,Other
44,DEPT_016,Other
45,DEPT_017,Other
46,DEPT_018,Other
47,DEPT_019,Other
48,DEPT_020,Other
49,DEPT_021,Other
50,DEPT_022,Other
51,DEPT_023,Other
52,DEPT_024,Other
53,DEPT_025,Other
54,DEPT_026,Other
55,DEPT_027,Other
56,DEPT_028,Other
57,AGENCY_001,Other
58,AGENCY_002,Other
59,AGENCY_003,Other
60,AGENCY_004,Other
61,AGENCY_005,Other
62,AGENCY_006,Other
63,AGENCY_007,Other
64,AGENCY_008,Other
65,AGENCY_009,Other
66,AGENCY_010,Other
67,AGENCY_011,Other
68,AGENCY_012,Other
69,ORG_002,Other
70,ORG_003,Other
71,ORG_005,Other
72,ORG_004,Other
73,PERSON_001,Other
74,PERSON_003,Other
75,PERSON_006,Other
76,PERSON_007,Other
77,PERSON_008,Other
78,PERSON_009,Other
79,PERSON_013,Other
80,PERSON_018,Other
81,PERSON_019,Other
82,PERSON_002,Other
83,PERSON_004,Other
84,PERSON_005,Other
85,PERSON_010,Other
86,PERSON_011,Other
87,PERSON_012,Other
88,PERSON_014,Other
89,PERSON_015,Other
90,PERSON_016,Other
91,PERSON_017,Other
92,PERSON_020,Other
93,PERSON_021,Other
94,PERSON_022,Other
95,PERSON_023,Other
96,PERSON_024,Other
97,PERSON_025,Other
98,ORG_001,Other
99,Official MOHE Portal & Recent Events Oct 2025,Other
100,Wikipedia & Bernama Oct 2025,Other
101,Official Announcement Mar 2025 & Bernama Oct 2025,Other
102,Historical Record,Other
103,MOHE Official Announcement Jun 2025 & Multiple News Sources Sep 2025,Other
104,Education Malaysia London Official Website 2025,Other
105,Wikipedia Oct 2025,Other
106,GovInsider Oct 2025,Other
107,GovInsider 2024,Other
108,MyDIGITAL Official Website 2025,Other
109,Multiple Sources May-Oct 2025,Other
110,BusinessToday Jul 2025,Other
111,LinkedIn 2024,Other
112,MDEC Official Website 2025,Other
113,Borneo Post Oct 2025 & relationships.csv October 2025,Other
114,Official Dec 2023 & Digital.gov.my Aug 2025,Other
115,Official Dec 2023,Other
116,Official Ministry of Digital Website Oct 2025,Other
117,Ministry of Digital Official & Wikipedia 2025,Other
118,GovInsider Oct 2025 & relationships.csv October 2025,Other
119,Wikipedia & Reappointment Mar 2025 & Bernama Oct 2025,Other
120,LinkedIn & PDF Jun 2025,Other
121,Multiple Sources,Other
122,MCMC Wikipedia & Bernama Aug 2025,Other
123,MCMC Official & Wikipedia 2025,Other
124,MCMC Announcement & Wikipedia 2025,Other
125,MCMC Wikipedia & Official Sources 2025,Other
126,MCMC Announcement Apr 2023 & Multiple Sources 2025,Other
127,MCMC LinkedIn & HR Sources 2025,Other
128,Microsoft – Empowering Malaysia’s education community with remote learning (Apr 3 2020); Microsoft – Building the foundations for Malaysia’s AI-enabled economy (May 22 2025) ,Other
129,Bursa Malaysia – corporate partnership disclosures; nodes + relationships dataset internal mapping,Other
130,UNDP Malaysia – MyDIGITAL Corporation and UNDP Malaysia forge partnership to drive digital inclusion (Oct 10 2025) ,Other
131,WEF Malaysia Centre for 4IR press release; nodes + relationships dataset internal mapping,Other
132,nodes + relationships dataset internal mapping; public disclosures of MDEC research tie-ups,Other
133,Microsoft – Government of Malaysia Builds Resilience by Adopting GovTech in Partnership with Microsoft (May 9 2022) ,Other
134,Reuters – Google to invest $2 billion in data centre and cloud services in Malaysia (May 30 2024),Other
135,UNDP Malaysia – MyDIGITAL Corporation and UNDP Malaysia partnership (Oct 10 2025),Other
